Tweet ID	Tweet	(1) Very Negative	(2) Negative	(3) Neutral	(4) Positive	(5) Strongly Positive	NA	Score (unrounded)	Score (rounded)
475918803491364864	<USER> #Taurus' never bitter at an ex...' False, I hope you all burn in	2	4	2	0	0	0	2	2
334994871460970496	Welcome Back Kotter is a fine song	0	0	1	7	0	0	4	4
83307636119961601	Oh no! Another jury summons. Time to help the oppressed stick it to the man.	0	5	2	1	0	0	2	2
591039655589584896	i could cut a right now tbh im so done	2	6	0	0	0	0	2	2
238359274873573376	Just busted the outta my knee tryna rush and get to this school!!!!	1	5	1	1	0	0	2	2
328553982106693635	<USER> device yeah. Come to find out David was in town last night...and around the corner... I guess just passing through.	0	2	5	1	0	0	3	3
808759076398239744	Cheney Poisoned Hundreds of US Troops in Iraq -- They're Dying -- And the Media is Silent <URL>	3	5	0	0	0	0	2	2
365870467812302848	#81 Tidioute Skinner Pocket Knife in Ebony Wood <URL>	1	0	7	0	0	0	3	3
68446550111690753	Convinced Twitter is contributing to my adult ADHD flareup. Too much information!!! #crazyLife	1	5	1	0	1	0	2	2
287621889805922304	Boy for a guy that doesn't even start Eli Carter sure is an arrogant An early hard foul would've settled him down. Next time #Pitt	0	5	3	0	0	0	2	2
331928647457968128	Bouta shut this all the way down.	1	3	3	0	0	0	2.2857142857142856	2
127862126491615233	<USER> at least you found it! And who better the Van to take care of it ;)	0	0	0	6	1	0	4	4
72894608023101440	We go to all the same parties and you don't know my name, it's probably cuz I never won a football game. #shesdope	0	1	5	0	0	1	3	3
333084927258157057	<USER> <USER> or a house.	0	0	5	0	0	2	3	3
301129240437477376	oh hello random dude knocking on my door #sketch	0	3	4	0	0	0	3	3
451966770488676352	The great #WorseWrestlers	0	3	3	1	0	0	2.7142857142857144	3
253674186457878528	Oh guys, a Republican just said 'we need regulation'. #ENDTIMES	1	3	3	0	0	0	2.2857142857142856	2
609063584392331264	I mutha knew he was gonna flip the script, too bad I was prepared...	0	2	3	2	0	0	3.0	3
310425529717227520	Alright American beauty show get ready for this car full of shows!	0	0	0	7	1	0	4	4
620281439662112768	<USER> <USER> the one time I'm not in San Diego this happens. I wish I was there!	0	5	1	2	0	0	2	2
943146586925871104	-Gotta Download All My Porn To My Phone Before This Net Neutrality Come Cause I Refuse To Pay ! Boy Y'all Imag... <URL>	1	5	1	1	0	0	2	2
25945404126	random musings at 3 am aren't exactly what my kids are hoping I'll tweet, but what the can't have them the only ones confused	0	3	5	0	0	0	3	3
745204612475527172	Hey Ambrose is your world champion <URL>	0	0	2	4	1	1	4	4
35123456135790592	things change so quickly !! its like... ok .... i know what ima do ... wait ... what?... what just happen?....o well my plan then....	0	4	3	1	0	0	2	2
822861009669029888	I liked a <USER> video <URL> Between Heaven &amp; - OFFICIAL	0	0	4	4	0	0	3	3
935499687104311301	<USER> !! See, this is why I miss being on a message board with you. You've always showed me I never kn... <URL>	0	1	2	5	0	0	4	4
724636965530832896	Disgusted now that we'll have to hear about Tom Brady every day AGAIN. The NFL is a joke	4	4	0	0	0	0	1	1
777851288545484800	<USER> <USER> 'I'm too nice' = 'I'm a	0	1	3	2	0	0	3.1666666666666665	3
823402814391156736	I sure as hope you don't teach the same way you coach. Especially the way you failed to coach me.	1	5	1	0	0	0	2	2
635988190231330816	RIP Justin Wilson #IndyCar	0	1	5	1	0	0	3	3
777233543743279104	Science, it works <URL>	0	0	3	4	0	0	4	4
