Tweet ID	Tweet	(1) Very Negative	(2) Negative	(3) Neutral	(4) Positive	(5) Strongly Positive	NA	Majority
475918803491364864	<USER> #Taurus' never bitter at an ex...” False, I hope you all burn in hell.	7	1	0	0	0	0	1
334994871460970496	Welcome Back Kotter is a damn fine song	0	0	0	4	4	0	5
83307636119961601	Oh hell no! Another jury summons. Time to help the oppressed stick it to the man.	1	5	1	1	0	0	2
591039655589584896	i could cut a bitch right now tbh im so fuckin done	6	1	1	0	0	0	1
238359274873573376	Just busted the shit outta my knee tryna rush and get to this school!!!!😖	2	5	1	0	0	0	2
328553982106693635	<USER> device hell yeah. Come to find out David was in town last night...and around the corner... I guess just passing through.	0	2	5	1	0	0	3
808759076398239744	Dick Cheney Poisoned Hundreds of US Troops in Iraq — They’re Dying — And the Media is Silent <URL>	5	3	0	0	0	0	1
365870467812302848	#81 Tidioute Coon Skinner Pocket Knife in Ebony Wood <URL>	0	2	5	0	0	1	3
68446550111690753	Convinced Twitter is contributing to my adult ADHD flareup. Too damn much information!!! #crazyLife	0	5	3	0	0	0	2
287621889805922304	Boy for a guy that doesn't even start Eli Carter sure is an arrogant a-hole. An early hard foul would've settled him down. Next time #Pitt	2	5	1	0	0	0	2
331928647457968128	Bouta shut this nigga all the way down.	5	3	0	0	0	0	1
127862126491615233	<USER> at least you found it! And who better the Dick Van Dyke to take care of it ;)	0	0	3	3	1	1	3
72894608023101440	We go to all the same parties and you don't know my name, it's probably cuz I never won a damn football game. #shesdope	0	4	2	1	1	0	2
333084927258157057	<USER> <USER> or a whore house.	1	5	2	0	0	0	2
301129240437477376	oh hello random ass dude knocking on my door #sketch	1	2	4	1	0	0	3
451966770488676352	The great punta #WorseWrestlers	1	3	2	2	0	0	3
253674186457878528	Oh shit guys, a Republican just said "we need regulation". #ENDTIMES	1	5	2	0	0	0	2
609063584392331264	I mutha fuckin' knew he was gonna flip the script, too bad I was prepared...😂😂	1	4	1	1	1	0	2
310425529717227520	Alright American beauty show get ready for this car full of shit shows!	0	5	0	2	0	0	2
620281439662112768	<USER> <USER> the one time I'm not in San Diego this shit happens. I wish I was there!	0	3	4	0	0	0	3
943146586925871104	-Gotta Download All My Porn To My Phone Before This Net Neutrality Shit Come Cause I Refuse To Pay ! Boy Y’all Imag… <URL>	0	2	4	1	0	0	3
25945404126	random musings at 3 am aren't exactly what my kids are hoping I'll tweet, but what the hell, can't have them the only ones confused	0	1	5	1	0	0	3
745204612475527172	Hey bitch Ambrose is your world champion <URL>	0	0	2	5	0	0	4
35123456135790592	things change so quickly !! its like... ok .... i know what ima do ... wait ... what?... what just happen?....o well fuck my plan then....	0	4	3	0	0	0	2
822861009669029888	I liked a <USER> video <URL> Between Heaven &amp; Hell - OFFICIAL	0	0	3	4	0	0	4
935499687104311301	<USER> !! See, this is why I miss being on a message board with you. You’ve always showed me shit I never kn… <URL>	0	0	2	5	0	0	4
724636965530832896	Disgusted now that we'll have to hear about Tom Brady every damn day AGAIN. The NFL is a joke	0	7	0	0	0	0	2
777851288545484800	<USER> <USER> "I'm too nice" = "I'm a pussy"	1	5	2	0	0	0	2
823402814391156736	I sure as hell hope you don't teach the same way you coach. Especially the way you failed to coach me.	4	4	0	0	0	0	2
635988190231330816	Damn... RIP Justin Wilson #IndyCar	1	2	4	0	1	0	3
777233543743279104	Science, it works bitches! <URL>	0	0	1	7	0	0	4
939247123710795776	And Yet Another Departs The IQ45, Already:: Dina Powell, deputy national security adviser, to depart Trump White Ho… <URL>	0	1	6	0	0	1	3
900225931700297728	it’s a shitty feeling realizing one of your best friends is actually a shitty friend :/ i trusted u again man	4	4	0	0	0	0	2
304980964331905024	Since when did we have to wear skirts &amp; bikinis to sell food! Do you really think they will buy more food if my ass is hanging out! Ugh!	4	3	1	0	0	0	1
835321650937806849	I liked a <USER> video <URL> Shitty Policeman	1	0	5	2	0	0	3
589254204297977856	Damn Meredith	1	3	2	1	1	0	3
321800085308571648	<USER> mind fuck!	4	2	2	0	0	0	1
606268487196123136	Being so much of an ass with your team down four runs that you cause the benches to clear #totalcubsmove	4	3	1	0	0	0	1
507771693851373568	<USER> omg there's so much shit just in this little snippet, MY BRAIN ASPLODE.	1	4	2	0	1	0	2
856885124838850561	time to get my shit together	0	1	2	5	0	0	4
699424339695902720	Hell to the yes <USER> #GRAMMYs	0	0	0	4	4	0	5
733024829268463617	<USER> <USER> Don't even know what to say except Special Place In Hell	4	4	0	0	0	0	2
149040624807579648	fuck niggers	7	1	0	0	0	0	1
6258505266	Do you have Frugal Fatigue, created by Dick Outcalt? Grinchless in Seattle is my latest Seattle Business article. <URL>	3	0	4	0	0	1	3
494659815012986881	Looks like this week's Main Episode is stuck in YouTube processing hell	1	7	0	0	0	0	2
625234481281110016	Piss off wanker.	3	4	1	0	0	0	2
513832258734915584	<USER> I look forward to watching you race. BAD ASS! So #ThankU	0	0	2	4	2	0	4
151773664185028608	<USER> thanks I don't think dopey and shit head would appreciate something so nice	1	3	2	2	0	0	3
3695189386	<USER> only ONE ass grab? id be doing it all day!	1	0	4	3	0	0	3
861737933631520768	<USER> this is also true. i shouldnt pick a fight bc honestly i eat like shit. frozen pizza and subway is like… <URL>	0	3	5	0	0	0	3
874730306439442432	I added a video to a <USER> playlist <URL> Fergie - London Bridge (oh shit) HQ	0	1	6	1	0	0	3
936468864136708096	okay, i need to come out about this even tho lots have said this already but I need to let it out...... I fucking c… <URL>	0	5	2	1	0	0	2
210135368958357504	<USER> I think you mean SEXY FIERCE BITCH.	0	0	2	3	3	0	2
118371405971730433	So I felt like the biggest asshole!! u_u	3	3	1	0	0	1	1
311298031716818944	10 pieces of no bullshit advice for entrepreneurs: <URL>	2	0	5	0	1	0	3
