Word,Definition,Type,Type+AF8-slur,Gender
arse,butt,general,na,n
arsehole,butt,general,na,n
ass,butt,general,na,n
ass+AC0-hat,idiot,general,na,n
ass+AC0-jabber,homosexual,slur,gs,n
ass+AC0-pirate,homosexual,slur,gs,n
assbag,idiot,general,na,n
assbandit,homosexual,slur,gs,n
assbanger,homosexual,slur,gs,n
assbite,idiot,general,na,n
assclown,butt,general,na,n
asscock,idiot,general,na,m
asscracker,butt,general,na,n
asses,butts,general,na,n
assface,butt,general,na,n
assfuck,rear+AC0-loving,general,na,n
assfucker,homosexual,slur,gs,n
assgoblin,homosexual,slur,gs,n
asshat,butt,general,na,n
asshead,idiot,general,na,n
asshole,jerk,general,na,n
asshopper,homosexual,slur,gs,n
assjacker,homosexual,slur,gs,n
asslick,idiot,general,na,n
asslicker,buttlicker,general,na,n
assmonkey,idiot,general,na,n
assmunch,idiot,general,na,n
assmuncher,butt,general,na,n
assnigger,racial slur,slur,r,n
asspirate,homosexual,slur,gs,n
assshit,idiot,general,na,n
assshole,butt,general,na,n
asssucker,idiot,general,na,n
asswad,butt,general,na,n
asswipe,butt,general,na,n
axwound,female genitalia,general,na,f
bampot,idiot,general,na,n
bastard,illegitimate child,general,na,n
beaner,mexican,slur,r,n
bitch,female dog,general,na,f
bitchass,idiot,general,na,f
bitches,female dogs,general,na,f
bitchtits,homosexual,slur,gs,f
bitchy,mean,general,na,f
bollocks,male genitalia,general,na,m
bollox,male genitalia,general,na,m
brotherfucker,homosexual,slur,gs,m
bullshit,poop,general,na,n
bumblefuck,homosexual,slur,gs,n
buttfucka,homosexual,slur,gs,m
buttfucker,homosexual,slur,gs,m
chinc,chinese,slur,r,n
chink,asian,slur,r,n
clitfuck,sexual act,general,na,f
clusterfuck,mess up,general,na,n
cock,penis,general,na,m
cockass,jerk,general,na,m
cockbite,idiot,general,na,m
cockburger,idiot,general,na,m
cockface,idiot,general,na,m
cockfucker,idiot,general,na,m
cockhead,idiot,general,na,m
cockjockey,homosexual,slur,gs,m
cockknoker,homosexual,slur,gs,m
cockmaster,homosexual,slur,gs,m
cockmongler,homosexual,slur,gs,m
